id_reserva,nombre_cliente,destino,fecha_viaje,correo,plataforma
420,Catalina Fuentes,Ciudad de Mexico,2027/12/07,catalina.fuentes420@gmail.com,Despegar
707,Ignacio Sanchez,Miami,09-11-2026,ignacio.sanchez707@gmail.com,Booking
797,Camila Castro,Madrid,2027/11/02,camila.castro797@gmail.com,Travel Now
374,Camila Silva,Rio de Janeiro,2027-11-14,camila.silva374@gmail.com,Kayak
765,Benjamin Lopez,Barcelona,2028/01/25,benjamin.lopez765@gmail.com,Kayak
47,Sofia Gomez,Punta Cana,2027-12-22,sofia.gomez47@gmail.com,Despegar
1005,Ana Reyes,Bogota,04-10-2026,sin@dominio,Google Flights
246,Juan Morales,Santiago,2027/12/04,juan.morales246@gmail.com,Despegar
37,Javiera Sanchez,Lima,2028/08/19,javiera.sanchez37@gmail.com,Google Flights
1156,Paula Romero,Madrid,2028/08/28,sin@dominio,Despegar
1111,Jose Rodriguez,Ciudad de Mexico,2028/03/22,correo,Travel Now
754,Daniela Gomez,Rio de Janeiro,2028-06-15,daniela.gomez754@gmail.com,Despegar
123,Matias Silva,Montevideo,2027-03-18,matias.silva123@gmail.com,Google Flights
659,Camila Martinez,Roma,2027/12/27,camila.martinez659@gmail.com,Travel Now
424,Daniela Reyes,Barcelona,16-05-2027,daniela.reyes424@gmail.com,Despegar
873,Francisca Diaz,Punta Cana,19-07-2026,francisca.diaz873@gmail.com,Kayak
945,Ignacio Fernandez,,2027/12/18,ignacio.fernandez945@gmail.com,Despegar
971,Camila Silva,Quito,10-07-2026,sin@dominio,Despegar
174,Carlos Silva,Rio de Janeiro,26-05-2027,carlos.silva174@gmail.com,Travel Now
1032,Diaz,Madrid,2026-08-30,sofia.diaz1032@gmail.com,Kayak
1033,Felipe Rojas,La Paz,fecha_mala,felipe.rojas1033@gmail.com,Google Flights
924,Maria Vargas,Madrid,2028-09-28,,Despegar
784,Carlos Romero,Punta Cana,2027-12-26,carlos.romero784@gmail.com,Booking
4,Ignacio Fuentes,Berlin,11-06-2026,ignacio.fuentes4@gmail.com,Google Flights
824,Paula Rodriguez,Barcelona,2026-12-24,paula.rodriguez824@gmail.com,Despegar
486,Carlos Martinez,Lima,2028/01/27,carlos.martinez486@gmail.com,Kayak
140,Carlos Araya,Bogota,2027-06-17,carlos.araya140@gmail.com,Travel Now
405,Daniela Vargas,La Paz,2026-09-27,daniela.vargas405@gmail.com,Travel Now
855,Paula Rojas,Cancun,2027/10/21,paula.rojas855@gmail.com,Booking
1188,Maria Paredes,Paris,2028-03-22,sin@dominio,Google Flights
155,Ignacio Vargas,Lisboa,2027-05-31,ignacio.vargas155@gmail.com,Travel Now
111,Sofia Gomez,Madrid,2026-11-03,sofia.gomez111@gmail.com,Booking
271,Ignacio Morales,Berlin,2026-11-18,ignacio.morales271@gmail.com,Google Flights
532,Ignacio Fernandez,Ciudad de Mexico,2027-07-10,ignacio.fernandez532@gmail.com,Booking
287,Catalina Rojas,Barcelona,2028-05-14,catalina.rojas287@gmail.com,Travel Now
549,Camila Perez,Bogota,2027/01/28,camila.perez549@gmail.com,Travel Now
679,Juan Lopez,Madrid,2028/10/08,juan.lopez679@gmail.com,Kayak
125,Catalina Torres,Barcelona,2027-10-07,catalina.torres125@gmail.com,Travel Now
360,Catalina Rojas,Barcelona,23-11-2027,catalina.rojas360@gmail.com,Google Flights
895,Matias Perez,Ciudad de Mexico,2028-05-12,matias.perez895@gmail.com,Google Flights
788,Sebastian Herrera,Lisboa,2028-02-22,sebastian.herrera788@gmail.com,Google Flights
786,Carlos Herrera,Lisboa,2027/05/21,carlos.herrera786@gmail.com,Booking
1110,Rojas,La Paz,2027-08-08,maria.rojas1110@gmail.com,Google Flights
871,Daniela Silva,Buenos Aires,2027-01-31,daniela.silva871@gmail.com,Travel Now
252,Fernanda Diaz,Lisboa,2026-10-10,fernanda.diaz252@gmail.com,Booking
540,Juan Martinez,Nueva York,03-07-2027,juan.martinez540@gmail.com,Despegar
367,Juan Romero,Roma,21-03-2027,juan.romero367@gmail.com,Kayak
190,Ana Silva,Santiago,18-08-2026,ana.silva190@gmail.com,Despegar
604,Valentina Silva,Roma,2028-09-02,valentina.silva604@gmail.com,Kayak
279,Juan Rodriguez,Roma,2027/07/10,juan.rodriguez279@gmail.com,Despegar
543,Paula Diaz,Buenos Aires,25-05-2028,paula.diaz543@gmail.com,Booking
728,Camila Paredes,Santiago,2027-04-14,camila.paredes728@gmail.com,Booking
491,Ignacio Vargas,Montevideo,2026/12/06,ignacio.vargas491@gmail.com,Booking
1162,Morales,Miami,2027/02/15,catalina.morales1162@gmail.com,Booking
583,Paula Araya,Santiago,22-01-2028,paula.araya583@gmail.com,Travel Now
880,Camila Castro,Miami,22-09-2026,camila.castro880@gmail.com,Google Flights
1135,Valentina Paredes,,2026/10/24,valentina.paredes1135@gmail.com,Travel Now
569,Javiera Rojas,Paris,2026/11/07,javiera.rojas569@gmail.com,Google Flights
446,Carlos Martinez,Bogota,2027-07-11,carlos.martinez446@gmail.com,Booking
1061,Benjamin Rojas,,2027-07-01,benjamin.rojas1061@gmail.com,Kayak
997,Sanchez,Paris,2027/07/07,carlos.sanchez997@gmail.com,Kayak
1178,Rojas,Montevideo,2027-02-05,francisca.rojas1178@gmail.com,Travel Now
85,Paula Paredes,Bogota,19-10-2027,paula.paredes85@gmail.com,Travel Now
421,Paula Lopez,Roma,2026/11/29,paula.lopez421@gmail.com,Despegar
606,Felipe Romero,Barcelona,2027/02/24,felipe.romero606@gmail.com,Kayak
1067,Camila Martinez,,2027/07/03,camila.martinez1067@gmail.com,Travel Now
1137,Juan Reyes,Rio de Janeiro,fecha_mala,juan.reyes1137@gmail.com,Despegar
1176,Jose Rojas,,2027/11/14,jose.rojas1176@gmail.com,Kayak
798,Camila Reyes,La Paz,2028-03-08,camila.reyes798@gmail.com,Despegar
79,Ana Romero,Ciudad de Mexico,04-12-2026,ana.romero79@gmail.com,Travel Now
963,Paredes,Nueva York,2027-05-11,benjamin.paredes963@gmail.com,Booking
859,Ignacio Romero,Montevideo,2028-09-01,ignacio.romero859@gmail.com,Booking
161,Felipe Araya,Paris,2028/02/25,felipe.araya161@gmail.com,Despegar
714,Ana Fernandez,La Paz,07-10-2028,ana.fernandez714@gmail.com,Kayak
609,Paula Sanchez,Berlin,04-02-2027,paula.sanchez609@gmail.com,Google Flights
919,Carlos Gomez,,2026-12-10,carlos.gomez919@gmail.com,Kayak
384,Diego Castro,Santiago,2028/07/29,diego.castro384@gmail.com,Google Flights
438,Camila Reyes,Santiago,2026-08-16,camila.reyes438@gmail.com,Despegar
796,Carlos Martinez,Montevideo,22-07-2027,carlos.martinez796@gmail.com,Kayak
1153,Diego Torres,Madrid,fecha_mala,diego.torres1153@gmail.com,Google Flights
20,Felipe Fuentes,Barcelona,2027/04/04,felipe.fuentes20@gmail.com,Despegar
563,Valentina Reyes,Bogota,2027-06-03,valentina.reyes563@gmail.com,Despegar
347,Valentina Sanchez,Quito,2026/08/01,valentina.sanchez347@gmail.com,Travel Now
210,Daniela Silva,Rio de Janeiro,2027-02-11,daniela.silva210@gmail.com,Despegar
651,Valentina Sanchez,Miami,04-09-2027,valentina.sanchez651@gmail.com,Despegar
15,Camila Romero,Quito,02-02-2027,camila.romero15@gmail.com,Booking
851,Felipe Morales,Montevideo,2028-02-25,felipe.morales851@gmail.com,Despegar
677,Sebastian Martinez,Montevideo,02-10-2028,sebastian.martinez677@gmail.com,Booking
616,Sebastian Rojas,Lima,17-10-2027,sebastian.rojas616@gmail.com,Booking
427,Fernanda Fernandez,Bogota,2028-07-18,fernanda.fernandez427@gmail.com,Google Flights
1062,Sebastian Sanchez,Lisboa,fecha_mala,sebastian.sanchez1062@gmail.com,Kayak
56,Fernanda Rojas,Montevideo,2026/12/22,fernanda.rojas56@gmail.com,Despegar
66,Jose Martinez,Santiago,2027-02-02,jose.martinez66@gmail.com,Kayak
162,Jose Romero,Miami,2027-01-10,jose.romero162@gmail.com,Despegar
1106,Matias Lopez,Montevideo,2028-04-23,,Booking
764,Sofia Morales,Madrid,2028-09-07,sofia.morales764@gmail.com,Despegar
48,Ana Morales,Miami,2028-09-19,ana.morales48@gmail.com,Despegar
545,Diego Castro,Lisboa,2028-03-21,diego.castro545@gmail.com,Google Flights
1047,Fernanda Romero,Punta Cana,fecha_mala,fernanda.romero1047@gmail.com,Google Flights
729,Felipe Reyes,Ciudad de Mexico,2026-08-08,felipe.reyes729@gmail.com,Google Flights
314,Javiera Vargas,Montevideo,23-11-2026,javiera.vargas314@gmail.com,Despegar
881,Maria Vargas,Punta Cana,01-03-2028,maria.vargas881@gmail.com,Kayak
850,Francisca Sanchez,Buenos Aires,2028/08/28,francisca.sanchez850@gmail.com,Despegar
93,Juan Romero,Punta Cana,16-10-2027,juan.romero93@gmail.com,Booking
530,Maria Reyes,La Paz,2027-08-06,maria.reyes530@gmail.com,Kayak
984,Javiera Sanchez,,2027-09-19,javiera.sanchez984@gmail.com,Google Flights
1021,Matias Martinez,Paris,fecha_mala,matias.martinez1021@gmail.com,Travel Now
636,Valentina Fernandez,Ciudad de Mexico,27-09-2026,valentina.fernandez636@gmail.com,Despegar
525,Sofia Lopez,Lima,2028/05/19,sofia.lopez525@gmail.com,Booking
410,Felipe Morales,Miami,03-07-2027,felipe.morales410@gmail.com,Booking
67,Maria Castro,Montevideo,2027-04-22,maria.castro67@gmail.com,Booking
22,Sofia Diaz,Madrid,25-01-2027,sofia.diaz22@gmail.com,Google Flights
962,Jose Herrera,,2027-12-21,jose.herrera962@gmail.com,Google Flights
990,Romero,Miami,2026-10-27,fernanda.romero990@gmail.com,Travel Now
844,Matias Romero,Santiago,2028-09-10,matias.romero844@gmail.com,Google Flights
589,Paula Vargas,Montevideo,2027-04-05,paula.vargas589@gmail.com,Travel Now
658,Ana Torres,Nueva York,2028/01/08,ana.torres658@gmail.com,Google Flights
328,Francisca Reyes,Miami,18-07-2026,francisca.reyes328@gmail.com,Google Flights
644,Catalina Romero,Miami,2026-12-06,catalina.romero644@gmail.com,Kayak
1001,Diego Paredes,,2028/04/23,diego.paredes1001@gmail.com,Kayak
166,Camila Sanchez,Santiago,2027/09/22,camila.sanchez166@gmail.com,Despegar
260,Diego Sanchez,Berlin,2027-05-11,diego.sanchez260@gmail.com,Despegar
1020,Valentina Lopez,Buenos Aires,fecha_mala,valentina.lopez1020@gmail.com,Travel Now
1017,Torres,Bogota,2028-03-06,javiera.torres1017@gmail.com,Travel Now
84,Benjamin Perez,Lima,2027/02/05,benjamin.perez84@gmail.com,Kayak
265,Camila Reyes,Berlin,26-08-2026,camila.reyes265@gmail.com,Booking
213,Javiera Fuentes,Buenos Aires,2027/07/09,javiera.fuentes213@gmail.com,Kayak
1145,Ignacio Martinez,Montevideo,2028/07/24,sin@dominio,Kayak
432,Diego Silva,La Paz,2028/02/22,diego.silva432@gmail.com,Despegar
132,Felipe Gomez,Buenos Aires,2027/07/27,felipe.gomez132@gmail.com,Booking
915,Fernanda Fuentes,Roma,2027/09/11,,Booking
946,Fernanda Sanchez,Miami,fecha_mala,fernanda.sanchez946@gmail.com,Travel Now
952,Paredes,Montevideo,2028/06/28,ignacio.paredes952@gmail.com,Travel Now
422,Matias Vargas,Berlin,2027-10-18,matias.vargas422@gmail.com,Despegar
490,Javiera Rodriguez,Bogota,2027-12-11,javiera.rodriguez490@gmail.com,Travel Now
1177,Ignacio Fernandez,Miami,fecha_mala,ignacio.fernandez1177@gmail.com,Kayak
403,Maria Fuentes,La Paz,27-03-2027,maria.fuentes403@gmail.com,Google Flights
723,Maria Castro,Ciudad de Mexico,08-12-2027,maria.castro723@gmail.com,Kayak
381,Maria Fuentes,Nueva York,2027-04-29,maria.fuentes381@gmail.com,Kayak
1189,Sofia Fernandez,,2026-07-12,sofia.fernandez1189@gmail.com,Google Flights
733,Daniela Morales,Berlin,2028-05-23,daniela.morales733@gmail.com,Booking
832,Sebastian Gomez,Punta Cana,2028/07/26,sebastian.gomez832@gmail.com,Travel Now
742,Sebastian Diaz,Bogota,2026-11-04,sebastian.diaz742@gmail.com,Google Flights
666,Javiera Silva,Berlin,2027-04-09,javiera.silva666@gmail.com,Google Flights
177,Camila Sanchez,Lima,2027/06/16,camila.sanchez177@gmail.com,Google Flights
655,Paula Morales,Paris,2027/02/18,paula.morales655@gmail.com,Kayak
910,Jose Sanchez,,27-06-2028,jose.sanchez910@gmail.com,Kayak
212,Benjamin Paredes,Nueva York,2026-06-30,benjamin.paredes212@gmail.com,Booking
929,Valentina Fuentes,,2026/05/29,valentina.fuentes929@gmail.com,Despegar
1053,Camila Castro,Barcelona,16-04-2028,correo,Kayak
1090,Javiera Vargas,Santiago,fecha_mala,javiera.vargas1090@gmail.com,Travel Now
425,Benjamin Vargas,Berlin,2026-09-03,benjamin.vargas425@gmail.com,Google Flights
1139,Sofia Silva,Ciudad de Mexico,2027-01-12,sin@dominio,Kayak
159,Javiera Gomez,Rio de Janeiro,2026-08-17,javiera.gomez159@gmail.com,Booking
936,Carlos Diaz,Madrid,20-07-2027,,Kayak
1172,Sebastian Diaz,Punta Cana,12-06-2028,malcorreo.com,Booking
709,Valentina Paredes,Rio de Janeiro,2027/04/20,valentina.paredes709@gmail.com,Booking
814,Paula Reyes,Bogota,2026-07-25,paula.reyes814@gmail.com,Travel Now
36,Juan Perez,Roma,2027/10/06,juan.perez36@gmail.com,Google Flights
809,Sofia Fuentes,Punta Cana,2026/07/10,sofia.fuentes809@gmail.com,Booking
749,Diego Rojas,Lisboa,12-03-2028,diego.rojas749@gmail.com,Despegar
201,Felipe Paredes,Barcelona,2027-08-27,felipe.paredes201@gmail.com,Travel Now
307,Paula Romero,Bogota,2026-12-26,paula.romero307@gmail.com,Google Flights
404,Paula Lopez,Roma,24-09-2028,paula.lopez404@gmail.com,Google Flights
415,Camila Morales,Bogota,2026/08/28,camila.morales415@gmail.com,Booking
1030,Fuentes,Montevideo,2026/09/12,diego.fuentes1030@gmail.com,Booking
834,Valentina Diaz,Quito,2026/11/28,valentina.diaz834@gmail.com,Travel Now
610,Catalina Rodriguez,Quito,2026/07/11,catalina.rodriguez610@gmail.com,Despegar
304,Matias Fernandez,Roma,2026/07/21,matias.fernandez304@gmail.com,Travel Now
1103,Felipe Paredes,Ciudad de Mexico,17-01-2028,,Travel Now
262,Matias Reyes,Roma,31-05-2027,matias.reyes262@gmail.com,Despegar
237,Sofia Paredes,Cancun,06-03-2027,sofia.paredes237@gmail.com,Despegar
1048,Felipe Reyes,Ciudad de Mexico,fecha_mala,felipe.reyes1048@gmail.com,Booking
869,Maria Fernandez,Berlin,2028-03-22,maria.fernandez869@gmail.com,Travel Now
284,Carlos Silva,Paris,02-07-2026,carlos.silva284@gmail.com,Travel Now
281,Matias Diaz,Montevideo,2027/01/05,matias.diaz281@gmail.com,Despegar
720,Camila Castro,Lisboa,2027/05/31,camila.castro720@gmail.com,Google Flights
124,Valentina Romero,Santiago,28-02-2027,valentina.romero124@gmail.com,Google Flights
581,Sofia Herrera,Miami,05-09-2028,sofia.herrera581@gmail.com,Google Flights
1163,Ana Martinez,,2027-11-22,ana.martinez1163@gmail.com,Kayak
830,Jose Sanchez,Lisboa,2027/05/14,jose.sanchez830@gmail.com,Google Flights
185,Valentina Gomez,Cancun,07-02-2028,valentina.gomez185@gmail.com,Travel Now
522,Daniela Martinez,Punta Cana,2027/08/12,daniela.martinez522@gmail.com,Google Flights
565,Sebastian Perez,Punta Cana,2028-01-19,sebastian.perez565@gmail.com,Travel Now
203,Francisca Lopez,Ciudad de Mexico,15-01-2027,francisca.lopez203@gmail.com,Travel Now
904,Francisca Castro,Montevideo,2026-08-14,sin@dominio,Booking
781,Valentina Paredes,Ciudad de Mexico,30-09-2028,valentina.paredes781@gmail.com,Travel Now
917,Rojas,Lisboa,2028/02/21,catalina.rojas917@gmail.com,Travel Now
862,Matias Rodriguez,Punta Cana,2027-08-11,matias.rodriguez862@gmail.com,Kayak
164,Jose Martinez,Montevideo,10-07-2027,jose.martinez164@gmail.com,Booking
352,Diego Araya,Nueva York,2027/10/26,diego.araya352@gmail.com,Despegar
21,Jose Paredes,Santiago,2028-05-09,jose.paredes21@gmail.com,Google Flights
277,Daniela Castro,Bogota,2028/08/16,daniela.castro277@gmail.com,Google Flights
236,Daniela Perez,Montevideo,2027/08/05,daniela.perez236@gmail.com,Despegar
165,Ana Perez,Cancun,2027/12/15,ana.perez165@gmail.com,Booking
1158,Perez,Santiago,2027-09-03,ignacio.perez1158@gmail.com,Despegar
485,Paula Morales,Rio de Janeiro,13-11-2026,paula.morales485@gmail.com,Booking
492,Daniela Gomez,Quito,30-04-2027,daniela.gomez492@gmail.com,Despegar
251,Ana Martinez,Bogota,2027-12-27,ana.martinez251@gmail.com,Despegar
122,Javiera Lopez,Barcelona,2026-10-17,javiera.lopez122@gmail.com,Travel Now
890,Sofia Paredes,Bogota,2028/01/04,sofia.paredes890@gmail.com,Booking
899,Ana Fuentes,Barcelona,2028/10/01,ana.fuentes899@gmail.com,Booking
1124,Gomez,Montevideo,09-06-2027,javiera.gomez1124@gmail.com,Booking
315,Juan Fernandez,Barcelona,2026-07-31,juan.fernandez315@gmail.com,Travel Now
964,Fernandez,Buenos Aires,22-09-2026,benjamin.fernandez964@gmail.com,Google Flights
1074,Araya,Madrid,2028/08/19,camila.araya1074@gmail.com,Booking
838,Maria Fernandez,Cancun,2028-10-11,maria.fernandez838@gmail.com,Google Flights
661,Diego Diaz,Buenos Aires,07-08-2028,diego.diaz661@gmail.com,Despegar
508,Francisca Sanchez,Roma,2028/03/22,francisca.sanchez508@gmail.com,Despegar
1071,Carlos Castro,,11-09-2026,carlos.castro1071@gmail.com,Despegar
1126,Lopez,Paris,2026/11/13,javiera.lopez1126@gmail.com,Booking
1133,Carlos Gomez,Cancun,fecha_mala,carlos.gomez1133@gmail.com,Google Flights
1029,Felipe Silva,Barcelona,fecha_mala,felipe.silva1029@gmail.com,Kayak
584,Maria Lopez,Quito,2027/05/16,maria.lopez584@gmail.com,Despegar
1116,Carlos Lopez,,2027/12/19,carlos.lopez1116@gmail.com,Google Flights
49,Matias Lopez,Rio de Janeiro,31-01-2028,matias.lopez49@gmail.com,Travel Now
848,Daniela Morales,Quito,29-06-2026,daniela.morales848@gmail.com,Despegar
620,Felipe Silva,Miami,09-08-2027,felipe.silva620@gmail.com,Google Flights
19,Carlos Herrera,Nueva York,2027/03/26,carlos.herrera19@gmail.com,Despegar
181,Ana Diaz,Bogota,2028-07-06,ana.diaz181@gmail.com,Google Flights
187,Diego Diaz,Buenos Aires,09-01-2027,diego.diaz187@gmail.com,Despegar
737,Ignacio Lopez,Bogota,2027/02/19,ignacio.lopez737@gmail.com,Despegar
1054,Benjamin Castro,Berlin,12-04-2028,malcorreo.com,Despegar
588,Felipe Rojas,Rio de Janeiro,09-08-2027,felipe.rojas588@gmail.com,Travel Now
158,Catalina Romero,Lima,10-08-2027,catalina.romero158@gmail.com,Travel Now
87,Valentina Martinez,Berlin,09-10-2026,valentina.martinez87@gmail.com,Booking
828,Catalina Rojas,Paris,2028-05-17,catalina.rojas828@gmail.com,Google Flights
409,Sofia Paredes,Montevideo,2027-03-15,sofia.paredes409@gmail.com,Booking
497,Maria Perez,Madrid,14-09-2026,maria.perez497@gmail.com,Kayak
879,Catalina Paredes,Ciudad de Mexico,2026-09-30,catalina.paredes879@gmail.com,Booking
1099,Araya,Cancun,29-11-2026,valentina.araya1099@gmail.com,Travel Now
108,Matias Sanchez,Miami,2027-03-06,matias.sanchez108@gmail.com,Google Flights
843,Ana Rojas,Lisboa,18-07-2026,ana.rojas843@gmail.com,Booking
635,Sofia Morales,Montevideo,2026/10/27,sofia.morales635@gmail.com,Travel Now
948,Jose Fuentes,Cancun,fecha_mala,jose.fuentes948@gmail.com,Kayak
245,Ignacio Fernandez,Bogota,2028-08-17,ignacio.fernandez245@gmail.com,Despegar
134,Ignacio Morales,Quito,2028/04/18,ignacio.morales134@gmail.com,Google Flights
192,Catalina Diaz,Berlin,29-03-2028,catalina.diaz192@gmail.com,Kayak
1150,Daniela Reyes,Montevideo,25-07-2028,sin@dominio,Travel Now
1052,Diego Castro,Cancun,fecha_mala,diego.castro1052@gmail.com,Kayak
238,Felipe Araya,Bogota,09-10-2026,felipe.araya238@gmail.com,Google Flights
763,Sebastian Diaz,Roma,07-03-2028,sebastian.diaz763@gmail.com,Google Flights
428,Camila Romero,Roma,2026-12-01,camila.romero428@gmail.com,Google Flights
1028,Silva,La Paz,10-12-2027,ignacio.silva1028@gmail.com,Kayak
668,Felipe Gomez,Paris,2026/12/19,felipe.gomez668@gmail.com,Despegar
323,Felipe Silva,Lima,2027/06/10,felipe.silva323@gmail.com,Booking
978,Matias Fuentes,Lisboa,2027/10/17,,Travel Now
30,Felipe Lopez,Santiago,2028/04/24,felipe.lopez30@gmail.com,Despegar
716,Fernanda Rodriguez,Rio de Janeiro,16-11-2027,fernanda.rodriguez716@gmail.com,Travel Now
71,Diego Vargas,Miami,2026/11/10,diego.vargas71@gmail.com,Travel Now
725,Carlos Fuentes,Cancun,2027/09/19,carlos.fuentes725@gmail.com,Kayak
1194,Juan Herrera,La Paz,fecha_mala,juan.herrera1194@gmail.com,Google Flights
104,Carlos Martinez,Lima,2027-08-23,carlos.martinez104@gmail.com,Despegar
194,Carlos Araya,Cancun,29-11-2027,carlos.araya194@gmail.com,Booking
443,Valentina Fuentes,Paris,08-05-2027,valentina.fuentes443@gmail.com,Booking
68,Ana Morales,Montevideo,2027-06-15,ana.morales68@gmail.com,Despegar
142,Catalina Rodriguez,Roma,2027/06/23,catalina.rodriguez142@gmail.com,Travel Now
320,Matias Castro,Paris,22-05-2028,matias.castro320@gmail.com,Despegar
730,Ana Paredes,Santiago,2027/03/19,ana.paredes730@gmail.com,Despegar
326,Catalina Fernandez,La Paz,30-01-2028,catalina.fernandez326@gmail.com,Google Flights
1084,Camila Silva,Bogota,31-12-2027,malcorreo.com,Booking
817,Jose Rodriguez,Bogota,12-09-2026,jose.rodriguez817@gmail.com,Kayak
136,Catalina Lopez,Paris,19-08-2026,catalina.lopez136@gmail.com,Kayak
1007,Diego Fernandez,,2027-12-12,diego.fernandez1007@gmail.com,Booking
470,Jose Vargas,Berlin,2028/07/21,jose.vargas470@gmail.com,Travel Now
335,Carlos Romero,Nueva York,31-08-2028,carlos.romero335@gmail.com,Despegar
864,Fernanda Rojas,Quito,2026-11-04,fernanda.rojas864@gmail.com,Despegar
1092,Matias Araya,Lisboa,fecha_mala,matias.araya1092@gmail.com,Travel Now
870,Camila Reyes,Santiago,2026/07/26,camila.reyes870@gmail.com,Kayak
858,Ana Sanchez,Paris,2027-07-06,ana.sanchez858@gmail.com,Booking
207,Diego Paredes,Nueva York,2027/06/25,diego.paredes207@gmail.com,Despegar
839,Francisca Fuentes,Lima,14-06-2027,francisca.fuentes839@gmail.com,Kayak
592,Catalina Castro,Rio de Janeiro,12-11-2026,catalina.castro592@gmail.com,Kayak
775,Matias Vargas,Miami,2026/07/21,matias.vargas775@gmail.com,Travel Now
1191,Daniela Silva,Rio de Janeiro,fecha_mala,daniela.silva1191@gmail.com,Despegar
433,Paula Rojas,Bogota,2027/05/12,paula.rojas433@gmail.com,Booking
688,Daniela Morales,Paris,2028/05/06,daniela.morales688@gmail.com,Travel Now
770,Valentina Fernandez,Miami,2026-10-02,valentina.fernandez770@gmail.com,Booking
969,Fernandez,Buenos Aires,2027/01/20,francisca.fernandez969@gmail.com,Booking
854,Ana Torres,Lima,29-08-2026,ana.torres854@gmail.com,Travel Now
686,Fernanda Lopez,Miami,2028/05/15,fernanda.lopez686@gmail.com,Despegar
810,Jose Fuentes,Barcelona,2027-12-03,jose.fuentes810@gmail.com,Kayak
1197,Sebastian Sanchez,Barcelona,2028/05/25,sin@dominio,Despegar
566,Sebastian Reyes,Lisboa,21-06-2027,sebastian.reyes566@gmail.com,Booking
